"","track_id","artists","album_name","track_name","popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track_genre","multiple_artists"
"1","1EzrEOXmMH3G43AXT1y7pA","Jason Mraz","We Sing. We Dance. We Steal Things.","I'm Yours",80,242946,FALSE,0.703,0.444,"B",-9.331,"major",0.0417,0.559,0,0.0973,0.712,150.96,"4","acoustic",FALSE
"2","5ivF4eQBqJiVL5IAE9jRyl","Jason Mraz","Love Is a Four Letter Word","I Won't Give Up",69,240165,FALSE,0.483,0.303,"E",-10.058,"major",0.0429,0.694,0,0.115,0.139,133.406,"3","acoustic",FALSE
"3","0BUuuEvNa5T4lMaewyiudB","Jason Mraz","Coffee Moment","93 Million Miles",0,216386,FALSE,0.572,0.454,"D#/Eb",-10.286,"major",0.0258,0.477,1.37e-05,0.0974,0.515,140.182,"4","acoustic",FALSE
"4","3Hn3LfhrQOaKihdCibJsTs","Jason Mraz","Human - Best Adult Pop Tunes","Unlonely",0,231266,FALSE,0.796,0.667,"F",-4.831,"minor",0.0392,0.381,0,0.221,0.754,97.988,"4","acoustic",FALSE
"5","6D33wCKzWtNEgOovgeVJ7r","Jason Mraz","Mellow Adult Pop","Bella Luna",1,302346,FALSE,0.755,0.454,"A",-9.609,"minor",0.0352,0.757,0,0.236,0.33,120.06,"4","acoustic",FALSE
"6","5IfCZDRXZrqZSm8AwE44PG","Jason Mraz","Holly Jolly Christmas","Winter Wonderland",0,131760,FALSE,0.62,0.309,"F",-9.209,"major",0.0495,0.788,0,0.146,0.664,145.363,"4","acoustic",FALSE
"7","0dzKBptH2P5j5a0MifBMwM","Jason Mraz","Feeling Good - Adult Pop Favorites","If It Kills Me",0,273653,FALSE,0.633,0.429,"E",-6.784,"minor",0.0381,0.0444,0,0.132,0.52,143.793,"4","acoustic",FALSE
"8","7BXW1QCg56yzEBV8pW8pah","Jason Mraz","Know.","Have It All",65,226106,FALSE,0.643,0.638,"C#/Db",-4.947,"minor",0.0407,0.204,0,0.0707,0.6,82.001,"4","acoustic",FALSE
"9","068qo0w1Ki0cjnFYOUhAm2","Boyce Avenue","Stand by Me","Stand by Me",60,199019,FALSE,0.728,0.266,"G#/Ab",-7.322,"major",0.0293,0.872,1.03e-05,0.114,0.307,115.189,"4","acoustic",FALSE
"10","4qTHoIp62ngNDpUJwW3hZ7","Boyce Avenue","Cover Sessions, Vol. 6","Can’t Help Falling in Love",57,131000,FALSE,0.402,0.197,"F",-10.775,"major",0.0295,0.858,1.05e-06,0.114,0.148,100.044,"3","acoustic",FALSE
